"Name","Slug","EvidenceCount","PageCount","RequirementCount","CapabilityCount","MatchedFormsCount","MatchedReportsCount","MatchedSqlObjectsCount"
"Masters and Configuration","masters","357","13","5","4","97","175","85"
"Reporting, Analytics, and Integrations","reporting-integrations","343","10","5","4","15","298","30"
"Accounting, Billing, and GST","accounting","262","8","5","4","42","153","67"
"Order Management and Sales","orders-sales","246","10","5","4","64","123","59"
"Inventory and Warehouse","inventory","235","10","5","4","55","60","120"
"Production and Shop Floor","production","234","10","5","4","49","73","112"
"Cutting, Panels, and Piece Goods","cutting-panels","231","9","5","4","41","95","95"
"Procurement and Supplier Management","procurement","180","8","5","4","38","94","48"
"Dispatch, Delivery, and Logistics","dispatch-logistics","174","7","5","4","27","104","43"
"Costing, Budgeting, and Finance","costing-budgeting","118","8","5","4","27","50","41"
"Job Work and Outsourcing","jobwork-outsourcing","67","7","5","4","17","21","29"
"Authentication and Administration","auth-admin","58","10","5","4","19","1","38"
"HR, Labor, and Payroll Support","hr-payroll","32","6","5","4","15","8","9"
"Quality, Lab, and Approvals","quality-approvals","23","8","5","4","10","3","10"
